GrantNumber,OutputId,Title,Abstract,PersistentIdentifier,PublicationDate,RepositoryLink,RepositoryName
148223,E19E98C5-FC54-4D69-9CD5-D6676FB69FAE,A plant biodiversity effect resolved to a single genetic locus - datasets,"Despite extensive evidence that biodiversity promotes plant community productivity, progress towards understanding the mechanistic basis of this effect remains slow, impeding the development of predictive ecological theory and agricultural applications. Here, we analysed non-additive interactions between genetically divergent Arabidopsis accessions in experimental plant communities. By combining methods from ecology and genetics, we identified a major effect locus that promotes complementarity amongst genotypes and above-ground productivity in mixed communities. In experiments with near-isogenic lines, we show that this diversity effect can act independently of other genomic regions and be resolved to a single locus representing less than 0.3% of the genome. Using plant-soil-feedback experiments, we demonstrate that allelic diversity also causes genotype-specific soil legacy responses in a subsequent growing period. Our work thus shows that positive diversity effects can be linked to single Mendelian factors, and that a range of complex community properties, some of which manifest themselves even after the original community has disappeared, can have a simple, single cause. This may pave the way to novel breeding strategies, focussing on phenotypic properties that manifest themselves beyond isolated individuals, i.e. at a higher level of biological organisation.",10.5281/zenodo.1254563,2018-06-21,https://zenodo.org,Zenodo
179966,891E7E81-8A61-4D31-B87F-CA9F408A888D,"Gallium Phosphide Nanowires in a Free-Standing, Flexible, and Semitransparent Membrane for Large-Scale Infrared-to-Visible Light Conversion","Engineering of nonlinear optical response in nanostructures is one of the key topics in nanophotonics, as it allows for broad frequency conversion at the nanoscale. Nevertheless, the application of the developed designs is limited by either high cost of their manufacturing or low conversion efficiencies. This paper reports on the efficient second-harmonic generation in a free-standing GaP nanowire array encapsulated in a polymer membrane. Light coupling with optical resonances and field confinement in the nanowires together with high nonlinearity of GaP material yield a strong second-harmonic signal and efficient near-infrared (800-1200 nm) to visible upconversion. The fabricated nanowire-based membranes demonstrate high flexibility and semitransparency for the incident infrared radiation, allowing utilizing them for infrared imaging, which can be easily integrated into different optical schemes without disturbing the visualized beam.",10.1021/acsnano.0c04872,2020-08-25,https://www.research-collection.ethz.ch/handle/20.500.11850/439005,ETH server
171050,8484F0CA-92D7-4072-8858-596412B68E41,EED knockout RNA sequencing dataset,nan,GSE112050,,https://www.ncbi.nlm.nih.gov/geo/,Gene Expression Omnibus
171050,F01745BB-4090-41FB-830D-9E3D16F7FDEF,Thymoproteasome MS proteomics data,nan,PXD013132 and PXD013133,,https://repository.jpostdb.org,ProteomeXchange Consortium
171050,477D0574-C71C-49CE-B9E4-F290084E2490,EED chip sequencing,nan,GSE114713,,https://www.ncbi.nlm.nih.gov/geo/,Gene Expression Omnibus
183587,63DC0D00-E253-4A75-9EBE-AC0A0469F191,Replication Package: How Software Refactoring Impacts Execution Time,nan,10.5281/zenodo.5869718,,https://zenodo.org/record/5869718#.YeazkS1h1n4,Zenodo
183587,A04AA468-886C-4856-95BB-EF4D6E67544C,PyRef: Automatically detecting method-level refactoring operations in Python projects,nan,10.5281/zenodo.5869957,,https://zenodo.org/record/5869957#.Yea1QC1h1n4,Zenodo
183587,A74E4067-7A74-4170-8253-F583102381AA,Replication Package: Why Do Developers Reject Refactorings?,nan,10.5281/zenodo.5870074,,https://zenodo.org/record/5870074#.Yea0hy1h1n4,Zenodo
183587,4B717393-209C-401C-951F-F5A02DF58CF2,Replication Package: Automated Identification of On-hold Self-admitted Technical Debt,nan,10.5281/zenodo.5870194,,https://zenodo.org/record/5870194#.Yeaz_S1h1n4,Zenodo
171050,A8F91F18-78BD-4DFA-8D34-72901D8F6BB3,Thymoproteasome RNA sequencing data,nan,DRA008167 and DRA008878,,https://www.ddbj.nig.ac.jp,DNA Data Bank of Japan
