GrantNumber,OutputId,Event,Date,Place,TargetGroup,Type,Url
129279,F90F5A52-6ED9-45D5-96EA-15F033DD362F,"Fachtagung Gymnasilallehrkäfte für Mathematik, Physik und Informatik",2012-11-01,"Burgdorf, Switzerland",Other administration / public sector,Talk,nan
129279,B50069E6-AB0F-4E98-AB17-D4FB665877B1,"Berufsorientierung, Geschlecht und Schule",2016-09-09,"Bern, Switzerland",Other administration / public sector,Talk,nan
129279,D2BCFBCE-40CF-434B-B6A6-A662F797BAA5,"Beruf, Karriere und Geschlecht",2013-06-17,"Zürich, Switzerland",Other administration / public sector,Talk,nan
129279,66A61937-CF67-458B-A797-E253630167C9,am Begegnungstag „Gymnasien-Hochschulen“ der Erziehungsdirektion des Kantons Bern,2015-03-26,"Bern, Switzerland",Other administration / public sector,Talk,nan
129279,3F3FC4C1-C77F-4981-B69E-DC9D7F58B0CA,3. Programmtagung des NFP60,2013-11-05,"Biel, Switzerland",Other administration / public sector,Poster,nan
185622,8E833DE0-22BA-4556-B890-058497DA31C2,Kolloquium der Fachstelle für Kinderbetreuung Luzern,2022-02-03,"Kriens, Switzerland",Other foundations / NGOs,Talk,nan
185622,6903E891-D723-49B2-8444-84D06AF67827,BFH Lunch-Talk,2021-05-05,"Bern, Switzerland",Other administration / public sector,Talk,nan
185622,A2618FA3-CC84-49DD-807F-5FB8EA0FAB06,NFP76 Dialogveranstaltung,2021-12-07,"Bern, Switzerland",Other administration / public sector,Talk,nan
177410,2B884654-D866-4AFC-937D-2413E3E62337,Comité de suivi projet CPMin76,2019-01-11,"HETS GEet HETS VS, Switzerland",Other administration / public sector,Self-organised,nan
177410,DB4BCFAE-456A-4434-B973-06EE70D0AFE0,Dispositifs de la protection de l’enfant. Comment l’Etat peut garantir les droits élémentaires des enfants ?,2019-10-10,"HETS-Sierre HES-SO, Switzerland",Other administration / public sector,Talk,nan
177410,3EC1A00C-E878-439D-84C9-EF166185E1C1,"Réunion concernant la création d'un observatoire des politiques de l'enfance, de la jeunesse et de la famille",2020-01-23,"HETS Genève, Switzerland",Other administration / public sector,Self-organised,nan
177410,153DB232-CF08-4479-8E92-F1562D75E2E1,"G-Inter autour du placement des mineurs /Histoire, enjeux, pratiques",2020-03-06,"HETS Genève, Switzerland",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
177410,740F0430-0EEB-4836-8201-C6129F2B1B1A,Table ronde du Forum des APEA du canton de Berne,2019-09-10,"Macolin, Switzerland",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
183144,A5750D76-0B4D-45DD-83A5-ABB7AE6A9657,"Workshop ""Art and Digital Kapital""",2020-03-11,"Hochschule der Künste Bern, Switzerland",Other administration / public sector,Self-organised,nan
185631,03026B16-5831-41B0-ACD6-4C19D241BD72,Workshop Begleitgruppe,2020-09-03,"Olten , Switzerland",Other foundations / NGOs,Self-organised,nan
185631,E2383667-945F-469E-8E29-434392DAA17A,"Tagung Plattform Fremdplatzierung: Wie bringt man ""Bientraitance""und Fremdplatzierung zusammen?",2020-01-21,"Casino Bern , Switzerland",Other administration / public sector,Talk,https://www.integras.ch/images/_pdf/servicemenu/tagungen/plattform-fremdplatzierung/Referate_Plattform_2020/1_Hauss-Gisela_Bientraitance-Historisch_Referat.pdf
139324,C8DAA5A1-2B17-4EF5-8A09-3D409A55317C,Palliative Care in den Wohnheimen der Behindertenhilfe. Referat an der regionalen Konferenz des Domácí hospic Jordán „Palliative und Hospiz Care“,2015-04-28,"Tabor, Czech Republic",Other foundations / NGOs,Talk,nan
139324,31166D4C-6010-4555-ABD1-BBE2E81B3B07,Wohnangebote für Senioren und Seniorinnen mit Behinderung in der Schweiz - Notwendigkeiten und Bedürfnisse. Referat an der Tagung „Das dritte Drittel oder „Wenn sie älter werden“,2013-09-20,"Zürich, Switzerland",Other foundations / NGOs,Talk,nan
139324,E6AD98AC-45C6-4678-8320-50174A4A375A,Palliative Care in den Wohnheimen der Behindertenhilfe. Erste Ergebnisse. Curaviva Fachgruppe Erwachsene mit Behinderung,2013-10-24,"Zürich, Switzerland",Other foundations / NGOs,Talk,nan
139324,C0215B12-356A-45D4-A7EE-5B8D10FAFF90,Palliative Care in den Wohnheimen der Behindertenhilfe,2015-01-20,"Luzern, Switzerland",Other foundations / NGOs,Self-organised,nan
139324,377F6FAC-A569-4637-B055-4BAA7D929F19,Besprechung der Konsultationsgruppe,2013-10-02,"Zürich, Switzerland",Other foundations / NGOs,Self-organised,nan
139324,D1AF4F33-C244-4529-965E-85342EFE3A16,Besprechung der Konsultationsgruppe,2013-03-13,"Zürich, Switzerland",Other foundations / NGOs,Self-organised,nan
139324,F1F682CF-5E9D-4D6B-BC0B-00CE04196722,Palliative Care in den Wohnheimen der Behindertenhilfe – wer bestimmt am Lebensende?,2014-09-25,"Zürich, Switzerland",Other foundations / NGOs,Self-organised,nan
139324,AB13A6CD-2803-4918-B146-2C718AA15804,Selbstbestimmung bis zum Lebensende. Referat an der internen Weiterbildung Palliative Care für Mitarbeitende des Wohnheims Kontiki,2014-05-16,"Egerkingen, Switzerland",Other foundations / NGOs,Talk,nan
139324,06C354E6-3879-4D74-9C75-E2B3D8858FCA,Im Wohnheim Sterben? Ausgangslage und Handlungsmöglichkeiten in den Schweizer Wohnheimen der Behindertenhilfe. Curaviva Impulstag 6 - Palliative Care für Menschen mit Unterstützungsbedarf,2013-06-19,"Olten, Switzerland",Other foundations / NGOs,Talk,nan
139324,91AECFDD-BEF1-4FB8-8064-5A95B56975E8,Besprechung der Konsultationsgruppe,2014-04-02,"Zürich, Switzerland",Other foundations / NGOs,Self-organised,nan
139324,CB41612A-2800-4808-B99B-596E014EBE62,Das dritte Drittel,2015-09-24,"Zürich, Switzerland",Other foundations / NGOs,Talk,http://www.swissepi.ch/epi-wohnwerk/navigationsteil-b/veranstaltungen/das-dritte-drittel/
139324,3049C631-7170-486E-A432-CD6C9938DAE9,"Selbstbestimmung bei Entscheidungen am Lebensende – auch bei intellektueller Beeinträchtigung? Altern, Sterben und Tod. Vorlesungsreihe des Zentrums für Gerontologie, Universität Zürich",2015-03-25,"Zürich, Switzerland",Other foundations / NGOs,Talk,nan
139324,CE54C756-7E36-4BAC-887C-9034C326FF71,Palliative Care für Menschen mit intellektueller Behinderung,2015-02-06,"Bern, Switzerland",Other administration / public sector,Self-organised,nan
139324,A6ACE5AD-46EF-42D9-A79E-7810253CFD1C,Psychiatrische und medizinische Versorgung in Wohnheimen der Behindertenhilfe in der Schweiz.  Vortrag an der Tagung „Teilhabe und soziale Inklusion – Europäische Praxis und Forschungsperspektiven im Gespräch“,2015-05-08,"Zürich, Switzerland",Other foundations / NGOs,Talk,nan
162108,92AF7577-4AFB-4134-9FBC-E3333DAE039B,Department of physics open house,2016-10-30,"Montreal, Canada",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
174987,422B6593-7B18-4CB9-A9CB-BE7D149BCECA,ECMI Modelling Week 2018,2018-07-15,"Novi Sad, Serbien",Other foundations / NGOs,Workshop,https://sites.dmi.uns.ac.rs/ecmimw2018/
165305,B7A994D0-4B56-430A-997F-8B3CF2588BDA,Seminar: Emotions and emotional intelligence in the translator’s workplace - Irish Association for Translators and Interpreters,2016-10-19,"Dublin, Ireland",Industry / private companies,"Performances, exhibitions (e.g. for education institutions)",nan
158943,E33B558D-789C-4006-BE01-3393A35F0F94,Multiphysical Behavior of Geomaterials Involved in Disposal of Radioactive Wastes,2016-03-24,"Lubbock , United States of America",Other administration / public sector,Self-organised,nan
