column,type
AmountGrantedAllSets,real
CallDecisionYear,integer
CallEndDate,date
CallFullTitle,text
GrantEndDate,date
GrantStartDate,date
FundingInstrumentLevel1,text
FundingInstrumentPublished,text
FundingInstrumentReporting,text
GrantNumber,"	text"
GrantNumberString,text
Institute,text
InstituteCountry,text
MainDiscipline,text
MainDisciplineNumber,integer
ResearchInstitution,text
State,text
Title,text
TitleEnglish,text
YearlyAvg,real
DurationYears,real
DateList,timestamp
KeywordId,integer
PersonNumber,text
Type,text
index,integer
InstituteNumber,text
Id,integer
Word,text
OutputId,text
ContributionTitle,text
Date,date
Event,text
Place,text
Url,text
Year,integer
Country,text
ResearchGroup,text
Abstract,text
PersistentIdentifier,text
PublicationDate,date
RepositoryLink,text
RepositoryName,text
TargetGroup,text
Description,text
Region,text
Author,text
DOI,text
Editor,text
FirstPage,text
LastPage,text
ISBN,text
IssueNumber,text
Volume,text
PublicationTitle,text
Publisher,text
OpenAccessStatus,text
PeerReviewStatus,text
ProceedingLocation,text
ImportSource,text
FirstName,text
Surname,text
Gender,text
InstitutePlace,text
ORCID,text
Discipline,text
Discipline_Level1,text
Discipline_Level2,text
DisciplineLevel,integer
DisciplineNumber,"	text"
ParentDiscipline,text
ParentDisciplineNumber,integer
Grant_ID,text
Person_ID,text
