Grant_ID,Person_ID
GG52505,PP25557
GG52505,PP25557
GG55458,PP11191
GG55458,PP11191
GG55458,PP8850
GG55458,PP8850
GG55475,PP100683
GG55475,PP100683
GG55856,PP69910
GG55856,PP69910
GG56659,PP66423
GG56659,PP66423
GG56893,PP56793
GG56893,PP56793
GG56993,PP96491
GG56993,PP96491
GG57211,PP106390
GG57211,PP106390
GG57216,PP106393
GG57216,PP106393
GG57228,PP82680
GG57228,PP82680
GG57513,PP119517
GG57513,PP119517
GG57534,PP82498
GG57534,PP82498
GG57746,PP95121
GG57746,PP95121
GG57770,PP110388
GG57770,PP110388
GG57799,PP54379
GG57799,PP54379
GG57807,PP72496
GG57807,PP72496
GG57809,PP35499
GG57809,PP35499
GG57809,PP45753
GG57809,PP45753
GG57809,PP524315
GG57809,PP524315
GG57809,PP81851
GG57809,PP81851
GG57812,PP8670
GG57812,PP8670
GG57814,PP74448
GG57814,PP74448
GG57814,PP74449
GG57814,PP74449
GG57828,PP58144
GG57828,PP58144
GG57850,PP32928
GG57850,PP32928
GG57863,PP50326
GG57863,PP50326
GG57866,PP33145
GG57866,PP33145
GG57881,PP38250
GG57881,PP38250
GG57883,PP32195
GG57883,PP32195
GG57894,PP13215
GG57894,PP13215
GG57941,PP38172
GG57941,PP38172
GG57950,PP44391
GG57950,PP44391
GG57969,PP100940
GG57969,PP100940
GG57982,PP51211
GG57982,PP51211
GG57989,PP49198
GG57989,PP49198
GG58000,PP85805
GG58000,PP85805
GG58040,PP56841
GG58040,PP56841
GG58049,PP91171
GG58049,PP91171
GG58075,PP46934
GG58075,PP46934
GG58085,PP85957
GG58085,PP85957
GG58097,PP66552
GG58097,PP66552
GG58108,PP48703
GG58108,PP48703
GG58111,PP33114
GG58111,PP33114
GG58151,PP57709
GG58151,PP57709
GG58173,PP63816
GG58173,PP63816
GG58215,PP63230
GG58215,PP63230
GG58241,PP533205
GG58241,PP533205
GG58250,PP8108
GG58250,PP8108
GG58269,PP109548
GG58269,PP109548
GG58269,PP70597
GG58269,PP70597
GG58274,PP110927
GG58274,PP110927
GG58282,PP60699
GG58282,PP60699
GG58285,PP48681
GG58285,PP48681
GG58289,PP46959
GG58289,PP46959
GG58291,PP110930
GG58291,PP110930
GG58291,PP91431
GG58291,PP91431
GG58346,PP50924
GG58346,PP50924
GG58354,PP31102
GG58354,PP31102
GG58357,PP57357
GG58357,PP57357
GG58373,PP117364
GG58373,PP117364
GG58373,PP38824
GG58373,PP38824
GG58375,PP12297
GG58375,PP12297
GG58420,PP99376
GG58420,PP99376
GG58446,PP27239
GG58446,PP27239
GG58446,PP6341
GG58446,PP6341
GG58457,PP10384
GG58457,PP10384
GG58457,PP31038
GG58457,PP31038
GG58474,PP16142
GG58474,PP16142
GG58484,PP514776
GG58484,PP514776
GG58487,PP85730
GG58487,PP85730
GG58520,PP32458
GG58520,PP32458
GG58522,PP53288
GG58522,PP53288
GG58523,PP48164
GG58523,PP48164
GG58533,PP57220
GG58533,PP57220
GG58607,PP65876
GG58607,PP65876
GG58661,PP115999
GG58661,PP115999
GG58826,PP16790
GG58826,PP16790
GG58887,PP9257
GG58887,PP9257
GG58901,PP13567
GG58901,PP13567
GG58901,PP57573
GG58901,PP57573
GG58913,PP105840
GG58913,PP105840
GG58923,PP112078
GG58923,PP112078
