file,column,missing_count,missing_percent
01Grant.csv,AmountGrantedAllSets,0,0.0
01Grant.csv,CallDecisionYear,0,0.0
01Grant.csv,CallEndDate,41748,51.17
01Grant.csv,CallFullTitle,41748,51.17
01Grant.csv,GrantEndDate,0,0.0
01Grant.csv,GrantStartDate,0,0.0
01Grant.csv,FundingInstrumentLevel1,0,0.0
01Grant.csv,FundingInstrumentPublished,0,0.0
01Grant.csv,FundingInstrumentReporting,0,0.0
01Grant.csv,GrantNumber,0,0.0
01Grant.csv,GrantNumberString,0,0.0
01Grant.csv,Institute,5930,7.27
01Grant.csv,InstituteCountry,6238,7.65
01Grant.csv,MainDiscipline,0,0.0
01Grant.csv,MainDisciplineNumber,0,0.0
01Grant.csv,ResearchInstitution,2721,3.34
01Grant.csv,State,0,0.0
01Grant.csv,Title,0,0.0
01Grant.csv,TitleEnglish,47320,58.0
02Discipline.csv,Discipline,0,0.0
02Discipline.csv,Discipline_Level1,0,0.0
02Discipline.csv,Discipline_Level2,5,3.03
02Discipline.csv,DisciplineNumber,0,0.0
02Discipline.csv,DisciplineLevel,0,0.0
02Discipline.csv,ParentDiscipline,5,3.03
02Discipline.csv,ParentDisciplineNumber,5,3.03
03GrantToDiscipline.csv,GrantNumber,0,0.0
03GrantToDiscipline.csv,DisciplineNumber,0,0.0
04Person.csv,FirstName,358,0.3
04Person.csv,Surname,0,0.0
04Person.csv,Gender,0,0.0
04Person.csv,Institute,62169,51.41
04Person.csv,InstitutePlace,62267,51.49
04Person.csv,ORCID,110982,91.77
04Person.csv,PersonNumber,0,0.0
04Person.csv,InstituteNumber,80555,66.61
05GrantToPerson.csv,GrantNumber,0,0.0
05GrantToPerson.csv,PersonNumber,0,0.0
05GrantToPerson.csv,Type,0,0.0
06Keyword.csv,Id,0,0.0
06Keyword.csv,Word,1,0.0
07GrantToKeyword.csv,GrantNumber,0,0.0
07GrantToKeyword.csv,KeywordId,0,0.0
08OutputToInvolvedPerson.csv,OutputId,0,0.0
08OutputToInvolvedPerson.csv,GrantNumber,0,0.0
08OutputToInvolvedPerson.csv,FirstName,27,0.01
08OutputToInvolvedPerson.csv,Surname,0,0.0
08OutputToInvolvedPerson.csv,PersonNumber,6423,2.85
09OutputAcademicEvent.csv,GrantNumber,0,0.0
09OutputAcademicEvent.csv,OutputId,0,0.0
09OutputAcademicEvent.csv,ContributionTitle,26297,16.84
09OutputAcademicEvent.csv,Date,12,0.01
09OutputAcademicEvent.csv,Event,12,0.01
09OutputAcademicEvent.csv,Place,14,0.01
09OutputAcademicEvent.csv,Type,10491,6.72
09OutputAcademicEvent.csv,Url,108743,69.65
10OutputAward.csv,GrantNumber,0,0.0
10OutputAward.csv,OutputId,0,0.0
10OutputAward.csv,Title,3,0.03
10OutputAward.csv,Year,18,0.18
11OutputCollaboration.csv,GrantNumber,0,0.0
11OutputCollaboration.csv,OutputId,0,0.0
11OutputCollaboration.csv,Country,0,0.0
11OutputCollaboration.csv,ResearchGroup,4,0.01
11OutputCollaboration.csv,Type,15,0.02
12OutputDataset.csv,GrantNumber,0,0.0
12OutputDataset.csv,OutputId,0,0.0
12OutputDataset.csv,Title,1,0.04
12OutputDataset.csv,Abstract,1263,44.82
12OutputDataset.csv,PersistentIdentifier,18,0.64
12OutputDataset.csv,PublicationDate,621,22.04
12OutputDataset.csv,RepositoryLink,2,0.07
12OutputDataset.csv,RepositoryName,7,0.25
13OutputKnowledgeTransferEvent.csv,GrantNumber,0,0.0
13OutputKnowledgeTransferEvent.csv,OutputId,0,0.0
13OutputKnowledgeTransferEvent.csv,Event,3,0.02
13OutputKnowledgeTransferEvent.csv,Date,3,0.02
13OutputKnowledgeTransferEvent.csv,Place,3,0.02
13OutputKnowledgeTransferEvent.csv,TargetGroup,8,0.05
13OutputKnowledgeTransferEvent.csv,Type,1891,12.73
13OutputKnowledgeTransferEvent.csv,Url,10788,72.63
14OutputPublicCommunication.csv,GrantNumber,0,0.0
14OutputPublicCommunication.csv,OutputId,0,0.0
14OutputPublicCommunication.csv,Title,4,0.01
14OutputPublicCommunication.csv,Description,13492,38.47
14OutputPublicCommunication.csv,Region,2,0.01
14OutputPublicCommunication.csv,Year,244,0.7
14OutputPublicCommunication.csv,Type,0,0.0
14OutputPublicCommunication.csv,Url,11718,33.41
15OutputPublication.csv,GrantNumber,0,0.0
15OutputPublication.csv,OutputId,131,0.08
15OutputPublication.csv,Title,165,0.1
15OutputPublication.csv,Author,2819,1.79
15OutputPublication.csv,Year,15705,9.99
15OutputPublication.csv,Abstract,76177,48.46
15OutputPublication.csv,DOI,59677,37.97
15OutputPublication.csv,Editor,141237,89.86
15OutputPublication.csv,FirstPage,31007,19.73
15OutputPublication.csv,LastPage,48657,30.96
15OutputPublication.csv,ISBN,138884,88.36
15OutputPublication.csv,IssueNumber,84418,53.71
15OutputPublication.csv,Volume,53033,33.74
15OutputPublication.csv,PublicationTitle,10911,6.94
15OutputPublication.csv,Publisher,124379,79.13
15OutputPublication.csv,OpenAccessStatus,51447,32.73
15OutputPublication.csv,PeerReviewStatus,99,0.06
15OutputPublication.csv,ProceedingLocation,150495,95.75
15OutputPublication.csv,State,100,0.06
15OutputPublication.csv,Type,121,0.08
15OutputPublication.csv,Url,96610,61.46
15OutputPublication.csv,ImportSource,1453,0.92
16OutputUseInspired.csv,GrantNumber,0,0.0
16OutputUseInspired.csv,OutputId,0,0.0
16OutputUseInspired.csv,Title,0,0.0
16OutputUseInspired.csv,Type,0,0.0
16OutputUseInspired.csv,Year,1,0.15
16OutputUseInspired.csv,Url,86,12.67
17Institute.csv,index,0,0.0
17Institute.csv,Institute,0,0.0
17Institute.csv,InstituteCountry,61,0.33
17Institute.csv,ResearchInstitution,1106,6.07
17Institute.csv,InstituteNumber,0,0.0
18GrantDateRange.csv,GrantNumber,0,0.0
18GrantDateRange.csv,GrantStartDate,0,0.0
18GrantDateRange.csv,GrantEndDate,0,0.0
18GrantDateRange.csv,YearlyAvg,0,0.0
18GrantDateRange.csv,DurationYears,0,0.0
18GrantDateRange.csv,DateList,12917,7.21
19GrantByPersonByDate.csv,Grant_ID,0,0.0
19GrantByPersonByDate.csv,Person_ID,0,0.0
